station,base_date,forecast_date,step_ahead_days,_SM10,_SM20,_SM30,_SM45,_SM60,_SM75
nagykoros,2025-09-01 02:00:00,2025-09-06 02:00:00,5,2.180443286895752,3.58988356590271,2.552523612976074,1.3728574514389038,3.337655544281006,0.8497896790504456
nagykoros,2025-09-01 02:00:00,2025-09-07 02:00:00,6,2.180443286895752,3.58988356590271,2.552523612976074,1.3728574514389038,3.337655544281006,0.8497896790504456
nagykoros,2025-09-01 02:00:00,2025-09-08 02:00:00,7,2.180443286895752,3.58988356590271,2.552523612976074,1.3728574514389038,3.337655544281006,0.8497896790504456
sandorfalva,2025-09-01 02:00:00,2025-09-02 02:00:00,1,1.808783769607544,2.6765732765197754,2.294001817703247,1.4619266986846924,2.5449209213256836,1.5106425285339355
sandorfalva,2025-09-01 02:00:00,2025-09-03 02:00:00,2,1.808783769607544,2.6765732765197754,2.294001817703247,1.4619266986846924,2.5449209213256836,1.5106425285339355
sandorfalva,2025-09-01 02:00:00,2025-09-04 02:00:00,3,1.808783769607544,2.6765732765197754,2.294001817703247,1.4619266986846924,2.5449209213256836,1.5106425285339355
sandorfalva,2025-09-01 02:00:00,2025-09-05 02:00:00,4,1.808783769607544,2.6765732765197754,2.294001817703247,1.4619266986846924,2.5449209213256836,1.5106425285339355
sandorfalva,2025-09-01 02:00:00,2025-09-06 02:00:00,5,1.808783769607544,2.6765732765197754,2.294001817703247,1.4619266986846924,2.5449209213256836,1.5106425285339355
sandorfalva,2025-09-01 02:00:00,2025-09-07 02:00:00,6,1.808783769607544,2.6765732765197754,2.294001817703247,1.4619266986846924,2.5449209213256836,1.5106425285339355
sandorfalva,2025-09-01 02:00:00,2025-09-08 02:00:00,7,1.808783769607544,2.6765732765197754,2.294001817703247,1.4619266986846924,2.5449209213256836,1.5106425285339355
szod,2025-09-01 02:00:00,2025-09-02 02:00:00,1,2.584672212600708,3.041918992996216,2.699726104736328,1.728005051612854,3.5546860694885254,1.297425389289856
szod,2025-09-01 02:00:00,2025-09-03 02:00:00,2,2.584672212600708,3.041918992996216,2.699726104736328,1.728005051612854,3.5546860694885254,1.297425389289856
szod,2025-09-01 02:00:00,2025-09-04 02:00:00,3,2.584672212600708,3.041918992996216,2.699726104736328,1.728005051612854,3.5546860694885254,1.297425389289856
szod,2025-09-01 02:00:00,2025-09-05 02:00:00,4,2.584672212600708,3.041918992996216,2.699726104736328,1.728005051612854,3.5546860694885254,1.297425389289856
